workout_uuid,user_id,created_at,workout_type,duration_min,metadata,date_inferred,progress_log_id,id
06b8faa7-4698-47c3-8bc7-6fa80dc29011,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-09 17:14:14.40214+00,strength,30,"{""notes"":""Focused on chest and triceps."",""llm_method"":""health_interpretation_v1"",""original_text"":""I workout out chest and triceps for 30min"",""source_log_timestamp"":""2025-12-09T17:14:14.402140+00:00"",""source_progress_log_id"":20}",2025-12-09,20,14
0fb9f626-9c58-4df6-a262-273cbd3e28b2,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-04 22:04:46.22276+00,other,0,"{""macros"":{""raw_string"":""P 45g / C 70g / F 25g (conf 0.75)""},""intensity"":null,""activities"":null,""llm_method"":""health_interpretation_v1"",""estimation_notes"":""Estimates based on a standard bowl with rice noodles (1.5 cups cooked), 3-4 oz lean pork, 4 fish balls, and some cooking oil."",""primary_muscle_group"":null,""source_log_timestamp"":""2025-12-04T22:04:46.079754+00:00"",""original_workout_text"":""I did 30 min of elliptical cardio"",""source_progress_log_id"":11}",2025-12-04,11,5
1d61693a-486e-4bb4-9763-6d781fc822f4,c3650a98-16ba-4c06-9811-a6b994d5726e,2026-01-03 00:07:38.211944+00,cardio,0,"{""notes"":""Daily steps, no explicit workout duration."",""llm_method"":""health_interpretation_v1"",""original_text"":""Im on a long trip cant workout much but averaging a lot of steps"",""source_log_timestamp"":""2026-01-03T00:07:38.211944+00:00"",""source_progress_log_id"":26}",2026-01-03,26,1767398858211961
1e12626f-d2be-4282-990a-ac1693e62c8b,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-11-27 04:46:10.975982+00,other,0,"{""macros"":{""raw_string"":""P 25g / C 46g / F 30g (conf 0.95)""},""intensity"":null,""activities"":null,""llm_method"":""health_interpretation_v1"",""estimation_notes"":""Standard McDonald's Big Mac."",""primary_muscle_group"":null,""source_log_timestamp"":""2025-11-27T04:46:10.786467+00:00"",""original_workout_text"":"""",""source_progress_log_id"":6}",2025-11-27,6,1
2423549f-cd44-4bcf-898f-22981c0376c1,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-10 21:08:31.702756+00,cardio,30,"{""notes"":""Duration and type explicitly stated."",""llm_method"":""health_interpretation_v1"",""original_text"":""30 min cardio"",""source_log_timestamp"":""2025-12-10T21:08:31.702756+00:00"",""source_progress_log_id"":21}",2025-12-10,21,1765400911702771
2ba93de9-88b3-4f21-b6e8-780ab74519ba,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-17 17:14:37.416055+00,other,0,"{""notes"":null,""llm_method"":""health_interpretation_v1"",""original_text"":""30min leg and shoulder workout"",""source_log_timestamp"":""2025-12-17T17:14:37.416055+00:00"",""source_progress_log_id"":25}",2025-12-17,25,1765991677416067
2d218caa-9571-4398-8733-35bdc1630e5f,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-05 14:04:58.540494+00,other,0,"{""macros"":{""raw_string"":""P 40g / C 25g / F 30g (conf 0.75)""},""llm_method"":""health_interpretation_v1"",""estimation_notes"":""Assumes a standard restaurant-sized bowl of beef doenjang-jjigae without separate rice."",""source_log_timestamp"":""2025-12-05T14:04:38.307247+00:00"",""original_workout_text"":""none"",""source_progress_log_id"":15}",2025-12-05,15,9
42614c03-30fb-4510-86dc-fd57767e9618,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-11 20:34:00.358857+00,strength,30,"{""notes"":""Leg and shoulder workout indicates strength training."",""llm_method"":""health_interpretation_v1"",""original_text"":""30 min leg and shoulder workout"",""source_log_timestamp"":""2025-12-11T20:34:00.358857+00:00"",""source_progress_log_id"":22}",2025-12-11,22,1765485240358874
45c34c45-31e2-4b2a-ad2e-93435eb34978,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-09 21:24:03.303838+00,strength,30,"{""notes"":""Leg day implies strength training."",""llm_method"":""health_interpretation_v1"",""original_text"":""30 min leg day"",""source_log_timestamp"":""2025-12-09T21:24:03.303838+00:00"",""source_progress_log_id"":20}",2025-12-09,20,1765315443303853
52ec48f0-4b61-4365-b6c8-dbe3fdd8334f,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-04 22:54:21.845283+00,other,0,"{""macros"":{""raw_string"":""P 30g / C 72g / F 30g (conf 0.75)""},""llm_method"":""health_interpretation_v1"",""estimation_notes"":""Assumed average-sized pork and vegetable dumplings, pan-fried or boiled."",""source_log_timestamp"":""2025-12-04T22:54:21.763512+00:00"",""original_workout_text"":""I did 30min of cardio"",""source_progress_log_id"":12}",2025-12-04,12,6
